relative_time,AccX,AccY,AccZ
111132,-2.2570300102233887,0.15583257377147675,6.547959327697754
111201,-2.579462766647339,-1.3025928735733032,10.020243644714355
111269,-3.8892340660095215,-2.047957181930542,12.576077461242676
111336,-3.780958890914917,-3.079263687133789,15.81566047668457
111404,-4.777868747711182,-1.2284153699874878,12.215060234069824
111469,,0.5641079545021057,8.087740898132324
111470,-4.768895626068115,,
111538,,,7.33340311050415
111539,-2.5582265853881836,0.2470589429140091,
111606,-2.3814568519592285,0.5602195858955383,6.27577543258667
111671,,0.483051061630249,8.257631301879883
111672,-2.101496458053589,,
111740,,,10.43360424041748
111741,-1.794916033744812,0.7432705163955688,
111808,-2.5959134101867676,0.04127619042992592,13.863117218017578
111875,-1.9184455871582031,-0.7719843983650208,14.661721229553223
111943,,,9.949954986572266
111944,-1.2403794527053833,-0.6332007050514221,
112008,-1.3749756813049316,-0.8668000102043152,9.88086223602295
112076,,,8.19392204284668
112077,-1.2744771242141724,-0.7238288521766663,
112144,-1.1135598421096802,0.14865410327911377,5.289932727813721
112210,-1.449751377105713,0.37028929591178894,5.935994625091553
112279,,-0.31854450702667236,8.009973526000977
112280,-1.8661025762557983,,
112346,,,9.899406433105469
112347,-2.268096685409546,-0.9128618240356445,
112412,,,15.259927749633789
112413,,-2.7999014854431152,
112482,,-2.2836501598358154,16.006786346435547
112484,-4.882554531097412,,
112548,,,8.649754524230957
112549,-5.437988758087158,-0.18753747642040253,
112619,-2.638984203338623,0.014656038954854012,5.921638011932373
112685,,,6.739983081817627
112686,-1.1437692642211914,-0.6565307378768921,
112753,-1.770688772201538,-0.5482555031776428,7.144071102142334
112819,-2.370988130569458,-0.5662016868591309,9.6466646194458
112886,,,10.707582473754883
112887,-3.160320520401001,0.19262222945690155,
112952,-3.660121440887451,0.17766708135604858,14.57647705078125
113020,,,14.977274894714355
113022,-2.2896320819854736,-0.6323033571243286,
113088,,,9.99691390991211
113089,-1.7437695264816284,0.023330021649599075,
113154,-1.954637050628662,-0.8069794178009033,10.826924324035645
113222,,,7.560422420501709
113223,-1.3319048881530762,-0.8135597109794617,
113288,,-0.041575293987989426,4.614259243011475
113289,-1.189831018447876,,
113358,-0.9179465770721436,-0.11515458673238754,6.535097599029541
113425,-0.6302096843719482,-0.7833502888679504,8.320143699645996
113491,,-0.7331010103225708,10.004690170288086
113492,-2.2310080528259277,,
113558,,-2.3386850357055664,13.29721450805664
113559,-3.1142587661743164,,
113627,-3.6604204177856445,-1.7207385301589966,14.61087417602539
113695,-5.047360420227051,0.5240281820297241,9.956833839416504
113761,,0.19292132556438446,8.673383712768555
113762,-3.3143584728240967,,
113828,-3.179163932800293,0.08464609831571579,7.992326736450195
113896,-3.2593235969543457,0.2108674943447113,7.419544696807861
113964,,,7.837092399597168
113965,-2.190030813217163,0.7283154129981995,
114031,-2.3865413665771484,1.0166505575180054,10.378868103027344
114099,-2.541775941848755,0.8377870321273804,14.28006649017334
114167,-1.2326027154922485,-0.271286278963089,14.365310668945312
114232,-0.5742774605751038,-0.01196411345154047,9.721440315246582
114302,,-0.5258227586746216,10.386645317077637
114303,-2.1185452938079834,,
114368,-1.1718848943710327,-0.4627120792865753,7.281658172607422
114434,,0.6487540602684021,5.032404899597168
114435,-0.5757729411125183,,
114509,,0.3233301639556885,7.359126091003418
114510,-0.32572299242019653,,
114569,,,8.657830238342285
114570,-0.8991031050682068,0.5632106065750122,
114645,,0.129810631275177,10.211071968078613
114646,-1.1599208116531372,,
114711,-3.4411780834198,-1.3660026788711548,15.162718772888184
114773,,-2.0282163619995117,14.97159194946289
114774,-2.1765713691711426,,
114841,,,8.123931884765625
114842,-5.547759532928467,1.0857433080673218,
114907,,,7.563114166259766
114908,,0.23718854784965515,
114909,-2.3994028568267822,,
114975,,0.2602194547653198,7.054938316345215
114976,-1.44945228099823,,
115043,-2.2698912620544434,0.8204390406608582,8.06949520111084
115108,,,9.424430847167969
115109,-2.2070798873901367,0.9978070259094238,
115177,,,11.173883438110352
115178,-2.307877540588379,1.140179991722107,
115245,-0.8249256014823914,0.5186443328857422,12.305389404296875
