departamento,municipio,tiempo_establecimiento,topografia,drenaje,riego,fertilizacion,pH,materia_organica,fosforo,azufre,acidez,aluminio,calcio,magnesio,potasio,sodio,CICE,conductividad,hierro,cobre,manganeso,zinc,boro
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.68,1.6891514639442735,3.87,24.85148514851485,1.0753771106621715,0.7823419688501138,0.9057675000000001,0.2407699,0.09,0.14,2.4519145106621716,0.17014479999999998,63.141,2.077,5.071,1,0.029686174724342658
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.21,1.866126561944781,3.87,7.277227722772276,1.8230202447415857,1.3941735085918694,0.59,0.2262875,0.09,0.14,2.869307744741586,0.37516399999999994,234.696,1,4.532,1,0.050890585241730284
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.89,2.295923228517443,6.365206073752711,25.346534653465348,1.0139269900529044,0.6018015145000875,0.6521526000000001,0.2679244,0.09171684,0.14,2.1657208300529045,0.3947148,157.179,6.667,21.486,1,0.09329940627650551
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,5.09,1.866126561944781,9.410759219088936,8.514851485148515,0.5120843384105578,0.2908707320083756,1.9674368000000002,0.6155020000000001,0.09,0.14,3.325023138410558,0.37040839999999997,216.425,6.871,8.171000000000001,1,0.029686174724342658
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,5.02,4.343777933951888,3.87,15.445544554455449,1.2904525327946057,0.8826422212667949,0.6444673,0.2154257,0.09,0.16075920000000002,2.4011047327946056,0.1680312,329.45,1,3.302,1,0.13570822731128074
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.659999999999999,4.4954708750951795,4.842429501084598,16.18811881188119,1.4031110872449284,1.0130325494084806,0.9848163000000001,0.30956130000000004,0.09,0.14,2.927488687244929,0.694846,450.307,16.125,8.151,1,0.029686174724342658
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.87,2.599309110804027,4.690151843817787,24.85148514851485,0.7681265076158367,0.4513511358750656,2.6558201,0.6661904,0.11816279999999998,0.14,4.348299807615836,1.0113576,216.084,3.713,11.561,1,0.029686174724342658
Valle del cauca,Caicedonia,De 1 a 5 años,Ondulado,No indica,No cuenta con riego,No indica,5.08,1.5374585228009816,5.299262472885031,5.297029702970297,0.5325677119469802,0.32096080773338,2.9775048000000006,0.5919681,0.3713688,0.14,4.61340941194698,0.40105559999999996,119.064,2.231,8.758000000000001,1,0.029686174724342658
Valle del cauca,Caicedonia,De 1 a 5 años,Ondulado,No indica,No cuenta con riego,No indica,5.21,1.9672551893736427,3.87,8.267326732673267,0.2560421692052789,0.050150126208340626,5.052535800000001,1.7487498,0.5092253999999999,0.14,7.70655316920528,0.509906,149.413,2.7510000000000003,12.940000000000001,4.391,0.09329940627650551
Valle del cauca,Dagua,De 1 a 5 años,Ondulado,No indica,No cuenta con riego,No indica,4.92,2.118948130516935,7.735704989154012,33.910891089108915,0.7476431340794144,0.5015012620834062,1.3163821000000002,0.4580059,0.37474488,0.14,3.0367760140794147,0.6705396,240.15199999999996,2.912,5.426,1,0.050890585241730284
