Municipios,Año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Lulo,Mango,Maracuyá,Melón A,Melón B,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Ulloa,2015,81.5,1,103.8,0,0,67,0,0,0,0,0,0,0,0,0,0,11,0,0,0
Versalles,2015,45.5,0,97,0,0,0,0,31.3,0,36,0,10,0,0,31.6,0,0,5,0,0
Vijes,2015,25,0,42,0,0,42,0,0,0,0,14,0,0,0,0,40,322,0,0,0
Yotoco,2015,41,0,0,0,0,37.6,0,0,0,5.2,0,0,0,0,0,0,6,4,0,0
Yumbo,2015,37,0,15,0,0,68.5,0,5,10.5,12,29.5,11.5,10,10,4,17.8,5,2.5,1,82
Zarzal,2015,0,0,0,0,2,251.6,0,0,19.5,0,0,45.8,45,30,0,48.7,0,0,0,0
Cali,2014,5,,,,,30,,,,,,,,,15,,,,10,
Alcalá,2014,45,1,160,,,372,,,,10,,,,,,2,20,,,
Andalucia,2014,10,0,20,0,0,405,0,0,0,0,0,20,0,0,0,20,0,0,0,0
Ansermanuevo,2014,41,,21,,,5,,36,10,4.5,12,1,,,3,,,13,,
Argelia,2014,302.6,,225,,,5,,,,8,,,,,6,,,,,
Bolivar,2014,45,,99,,6,46,,44,20,278,,132,45,40,30,75,57,29,43,31
Buenaventura,2014,,380,122,800,3280,,322,,,,,,,,,,,,,
Buga,2014,10,,87,,,12,,20,,5,5,3,,,6,15,70,,3,2
Bugalagrande,2014,27,,,,,593,,9,45,,,10,,,,,,10,,
Caicedonia,2014,283,,390,,,1945,,,68,,,,,,,,50,,,
Calima Darién,2014,34,,8,,,8,,6,,77.5,,,,,24,,,1,8,
Candelaria,2014,,,,,,28.1,,,,,,11.5,,,,,,,,
Cartago,2014,18.7,,30,,,122,,,,4,,,,,,,1.5,,,
Dagua,2014,65,,119,,17,95,,4.5,6,30,,20,,,,,1200,6,,
El Aguila,2014,26,,8,,,3.5,,8,,26,,,,,25,,3.5,,5,
El Cairo,2014,55,,,,,,,,,13,,,,,39,,,,,
El Cerrito,2014,52,,15,,,30,,,,,,23,,,4,,,,,285
El Dovio,2014,5,,52,,,,,3,,22,,10,,,,,,2,,
Florida,2014,9,,153,,,95,,16,4,,4,9,,,60,16,5,1,5,
Ginebra,2014,0,0,147,0,0,29,0,7,0,14,0,13,0,0,224,12,0,0,0,71
Guacarì,2014,50,,262,,,61,,,20,53,,83,,,34,218,,,29,194
Jamundì,2014,6,,11,,,453,,,4,10,27,17.5,,,9.5,4.5,19.5,,3,
La Cumbre,2014,,,63.5,,,,,,,30,,,,,,,155,,,
La Uniòn,2014,20.9,,24.8,,,15.6,,,13.5,7,,51,60,62,,164,,,,977
La Victoria,2014,15,,140,,,61,,,,,40,17,,,,14,,,,6
Obando,2014,20.6,,429,,,46,,,,,18.5,20,,,,12,,,,
Palmira,2014,89,,92,,,75,,0.6,,23,,26,,,26,,,,14,9
Pradera,2014,2,,30,,,25,,,30,13,,,,,15,,20,,5,
Restrepo,2014,60.2,24,70,,,26,,1,,94,2,17,,,8,,385,32,1,
Riofrìo,2014,31,,539,,,8,,,4,206,9,7,,,31,,4,5,,9
Roldanillo,2014,26,,33.5,,,14,,4,14.3,4,,123,59.6,35,4,131.8,47,8,,47.6
San Pedro,2014,19,,65,,,32,,33,7,24,7,30,,,16,35,,,18,
Sevilla,2014,320,0,1810,0,0,1192,0,20,0,70,0,0,0,0,23,,0,0,0,0
Toro,2014,12,,4,,,2,,,118,,,25,40,40,,50,,,,250
Trujillo,2014,74,,632,,,25,,,4,30,,12,5,2,140,23,,18,,9
Tuluà,2014,14,,535,,,53,,9,8,122,6,,,,103,30,,,40,6
Ulloa,2014,81.5,3,103.8,,,67,,,,,,,,,,,11,,,
Versalles,2014,43.5,,97,,,,,31,,51,,18,,,27.4,,,3,,
Vijes,2014,23,,43,,,40,,,,,13,,,,,45,291,,,
Yotoco,2014,43,,,,,37.6,,,,6.2,,,,,,,8,4,,
Yumbo,2014,33,,14,,,65.5,,4,10,11,24.7,10,6,5,3.5,16.3,5,2.5,1,20
Zarzal,2014,,,,,2,251,,,19.5,,,55,51.2,30,,62.7,,,,
Cali,2013,4,0,0,0,0,30,0,0,0,6,0,0,0,0,15,0,0,0,11,0
Alcalá,2013,65,0,168,0,0,372,0,0,0,30,0,0,0,0,0,8,20,0,0,0
Andalucia,2013,25,0,0,0,0,405,0,0,0,0,0,20,0,0,0,20,0,0,0,0
Ansermanuevo,2013,38,0,18,0,0,5,0,31,10,3.5,10,1,0,0,5.5,0,0,7,0,0
Argelia,2013,302.6,0,211,0,0,5,0,0,0,9,0,0,0,0,6,0,0,0,0,0
Bolivar,2013,44,0,84,0,8,41,0,46,20,273,0,128,40,42,32,60,51,31,47,27
Buenaventura,2013,0,367,122,803,3466,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0
Buga,2013,8.6,0,71,0,0,10,0,15,0,4,5,2,0,0,4,15,60,0,3,2
Bugalagrande,2013,27,0,0,0,0,590,0,9,45,0,0,10,0,0,0,0,0,10,0,0
Caicedonia,2013,293,0,403,0,0,1958,0,0,62,0,0,0,0,0,0,0,70,0,0,0
Calima Darién,2013,50,0,5.5,0,0,0,0,4,0,59.5,0,0,0,0,15.5,0,0,1,8,0
Candelaria,2013,0,0,0,0,0,32.3,0,0,0,0,0,11,0,0,0,0,0,0,0,0
Cartago,2013,15.2,0,30,0,0,118,0,0,0,5.9,0,0,0,0,0,0,1.5,0,0,0
Dagua,2013,60,0,119,0,17,10,0,4.5,6,30,0,20,0,0,0,0,950,6,0,0
El Aguila,2013,19,0,11,0,0,0,0,7,0,20.5,0,0,0,0,22,0,0,0,4,0
El Cairo,2013,0,0,0,0,0,0,0,8,0,4,0,0,0,0,16,0,0,0,0,0
El Cerrito,2013,40,0,14,0,0,25,0,0,0,0,0,20,0,0,4,0,0,0,0,280
El Dovio,2013,5,0,40,0,0,0,0,4,0,54,0,5,0,0,0,0,0,2,0,0
Florida,2013,8,0,130,0,0,90,0,7,4,0,4,5,0,0,35,16,5,0,5,0
Ginebra,2013,0,0,147,0,0,29,0,7,0,14,0,13,0,0,224,12,0,0,0,71
Guacarì,2013,47,0,274,0,0,64,0,0,16,47,0,80,0,0,0,110,0,0,30,199
Jamundì,2013,4.5,0,11,0,0,470,0,0,4,7.5,27,9.5,0,0,10.5,9,7,0,3,0
La Cumbre,2013,0,0,64.5,0,0,0,0,0,0,39,0,0,0,0,0,0,115.5,0,0,0
La Uniòn,2013,19.4,0,35.3,0,0,23,0,0,13,7,0,138,42,43,0,158,0,0,0,1048
La Victoria,2013,15,0,143,0,0,61,0,0,0,0,28,48,0,0,0,16,0,0,0,4
Obando,2013,16.6,0,416,0,0,85,0,0,0,0,18,15,0,0,0,11,0,0,0,0
Palmira,2013,69,0,92,0,0,75,0,0.6,0,17,0,21,0,2,26,0,0,0,14,8.7
Pradera,2013,2,0,30,0,0,25,0,0,30,13,0,0,0,0,15,0,20,0,5,0
Restrepo,2013,64,21,68,0,0,25,0,1,0,89,0,16,0,0,11,0,380,35,2,0
Riofrìo,2013,24,0,476,0,0,6,0,0,3,156,9,7,0,0,26,0,4,3,0,9
Roldanillo,2013,36,0,35.5,0,0,11,0,7,18,4,0,134,53.1,47,4,135.2,45,9,0,37
San Pedro,2013,21,0,70,0,0,32.6,0,30,7,23,6,73,0,0,14,43,0,0,14,0
Sevilla,2013,320,0,1810,0,0,1192,0,20,0,70,0,0,0,0,22,0,0,0,0,0
Toro,2013,8,0,4,0,0,10,0,0,148,0,0,22,40,40,0,50,0,0,0,235
Trujillo,2013,54,0,597,0,0,22,0,0,3,70,0,15,4,3,138,45,4,3,0,9
Tuluà,2013,14.1,0,540,0,0,53,0,9,3,161,0,0,0,0,119,30,0,0,0,10
Ulloa,2013,124.5,3,88,0,0,67,0,0,0,0,0,0,0,0,0,0,11,0,0,0
Versalles,2013,37.5,0,96,0,0,0,0,28,0,46,0,18,0,0,21.4,0,0,3,0,0
Vijes,2013,19,0,39,0,0,36,0,0,0,0,13,0,0,0,0,44,130,0,0,0
Yotoco,2013,40.5,0,0,0,0,31.5,0,0,0,12,0,0,0,0,0,0,4,11,0,0
Yumbo,2013,33,0,14,0,0,69.5,0,4,10,9,23.7,7,6,5,3,13,5,2,1,19
Zarzal,2013,0,0,0,0,0,351.5,0,0,19.5,0,0,31.7,18,12,0,29.7,11.7,0,0,0
Cali,2012,3,0,15,0,0,39,0,0,0,11,4,0,0,0,11,0,0,0,12,0
Alcalá,2012,65,3.6,138,0,0,352,0,0,0,55,0,0,0,0,0,0,20,0,0,0
Andalucia,2012,8,0,0,0,0,147,0,0,0,0,0,10,0,0,0,45,0,0,0,0
Ansermanuevo,2012,32,0,37,0,0,3,0,17,11.5,14.5,10,2,0,0,17.5,0,0,7,0,0
Argelia,2012,290.8,0,186,0,0,5,0,0,0,17,0,0,0,0,6,0,0,0,0,0
Bolivar,2012,41.9,0,75,0,10,41.5,0,40,20,260.5,0,137.5,32,21,34,64,49,30.5,54,23
Buenaventura,2012,0,466,129,811,3476,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0
Buga,2012,21,0,140,0,0,90,0,4,13,23,25,6,0,0,28,12,60,0,30,1
Bugalagrande,2012,27,0,0,0,0,590,0,9,45,0,0,10,0,0,0,0,0,10,0,0
Caicedonia,2012,255,0,259,0,0,1815,0,6,50,0,0,7,0,0,0,0,75,0,0,0
Calima Darién,2012,75,0,0,0,0,4,0,7,0,66.5,0,0,0,0,20.5,0,0,3,8,0
Candelaria,2012,0,0,0,0,0,32.3,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Cartago,2012,6.2,0,30,0,0,115.2,0,0,0,10.9,0,0,0,0,0,0,0,0,0,0
